judul,skor_similarity
"Veda Ega Finis ke-13 Moto3 Austria 2026, Ini Catatan Poinnya",0.5194155794176598
"Hasil Practice Moto3 Austria 2026: David Almansa Teratas, Veda ke-18",0.2587992115742724
"Posisi Start Moto3 Austria 2026 Sore Ini, Veda Ega Urutan Berapa?",0.21691077449109294
"Veda Ega Tembus 100 Poin Usai Balapan di Austria, Ini Klasemen Moto3 2026",0.21229101126714844
"Jadwal Lengkap Moto3 Austria 2026 Akhir Pekan Ini, Bagaimana Klasemen Veda?",0.19352693576139435
Klasemen Moto3 2026 Usai Race San Marino: Veda Gagal Tambah Poin,0.09368394910556947
"Ada Veda Ega, Semoga MotoGP Mandalika Lebih Ramai",0.08154394614140464
